Longitude,Latitude,RFBO avg
-157.05815497806864,22.00677673649134,2.3139215E-5
-159.8681880674924,22.312930134640155,1.6728928E-4
-159.88425158383487,23.918706181383236,3.7522237E-5
-158.01313376506388,20.929557624796033,5.4090206E-6
-158.8413748078489,21.679233268551936,4.3372307E-5
-160.81482856551256,20.84448070825835,1.569006E-5
-157.35901027889926,23.175198062208384,8.373964E-6
-160.10383385696468,20.778183134110428,3.445553E-5
-160.30843427810936,21.154645777226584,3.4402652E-5
-159.2614581462391,23.490375192572042,1.1510534E-4
-159.46268558893033,22.46879039209991,3.1798263E-4
-160.15346509260613,22.459715697977657,9.9995115E-5
-161.25406542060486,21.135508467910597,1.1238855E-5
-159.68856839874942,23.383955141518232,1.3987473E-4
-160.11882779732787,21.99868412997153,3.2594987E-6
-159.8390091463056,21.10601643257144,2.7225633E-5
-160.17394285315814,20.330359415825402,4.7983376E-6
-159.75844336197503,20.987180316670415,4.1178995E-5
-160.9464942121439,21.661487440650994,2.3653713E-5
-157.32538582955436,21.199797778779164,4.133461E-6
-160.75796938453615,23.290552894363152,8.399502E-5
-160.5123033361641,21.992321738861488,2.136725E-5
-159.7414956393225,24.23053696001434,3.395162E-5
-157.76565924321585,21.829874383365752,1.7400715E-5
-159.18960796060054,21.051099532942096,3.7783244E-5
-160.3948961243921,20.590984840830288,1.1015897E-5
-159.39197836732342,22.53457111558298,2.6137297E-4
-160.39537708616353,22.730029511848457,1.07348416E-4
-159.26529103441212,21.11379484919192,1.9890447E-5
-160.01581377636188,23.72401151626047,8.801979E-5
-157.987505697854,23.421719806673416,3.9908737E-5
-157.10871167640533,22.794782751768565,2.4017841E-5
-160.5082149816098,24.054081058888293,4.3732496E-5
-159.37418161085506,23.763233987091244,8.323548E-5
-160.00167054176612,21.942706336235528,2.1465525E-5
-159.73958695275607,23.961259470676502,8.784269E-5
-158.70959074566235,22.10373406741099,7.377606E-5
-159.24655133412745,21.72820889833288,6.5535314E-5
-159.95471328241968,21.200649465258874,4.258598E-5
-158.61505145722688,21.384581781287697,1.6207376E-5
-158.5881660980444,23.419073127268504,8.980732E-5
-159.01239787835848,21.631860656954213,2.6516891E-5
-160.62458956138266,21.742145580295652,1.6020835E-5
-159.2608658973538,24.07696378442209,1.0977572E-4
-157.96994033837362,22.584792904926967,1.110626E-4
-160.41931389433145,23.874105565269172,5.259585E-5
-157.34690045622517,21.575765124810438,1.6023281E-5
-158.14221972117048,24.08534139438731,2.0439538E-5
-161.20880962759304,22.88710349287252,1.8386057E-5
-157.31137925994975,22.282180222904877,4.4330834E-5
-159.21476786234038,22.850619513561277,1.3354485E-4
-158.1118550306351,22.21095169859028,1.193641E-4
-158.06593325846674,21.79952777188306,2.0658805E-5
-159.83772901849323,23.98293022746389,6.5535576E-5
-160.90315303190033,22.456813482904153,4.7613767E-6
