Longitude,Latitude,RFBO stddev
-157.05815497806864,22.006776736491386,5.366852E-7
-159.8681880674924,22.312930134640197,2.5132308E-6
-159.88425158383487,23.918706181383246,9.210332E-7
-158.01313376506388,20.929557624796104,1.4027145E-7
-158.8413748078489,21.67923326855199,1.7958231E-6
-160.81482856551256,20.844480708258423,4.047037E-7
-157.35901027889926,23.17519806220841,1.2738988E-7
-160.10383385696468,20.778183134110506,4.912455E-7
-160.30843427810936,21.15464577722665,5.5480086E-7
-159.2614581462391,23.49037519257206,1.561077E-6
-159.46268558893033,22.468790392099947,4.4403496E-6
-160.15346509260613,22.459715697977696,1.2873833E-6
-161.25406542060486,21.135508467910665,2.4053261E-7
-159.68856839874942,23.383955141518253,1.6773449E-6
-160.11882779732787,21.99868412997158,3.3692965E-7
-159.8390091463056,21.106016432571508,1.9681E-6
-160.17394285315814,20.330359415825487,1.6582982E-7
-159.75844336197503,20.987180316670486,7.433057E-7
-160.9464942121439,21.661487440651047,4.5046477E-7
-157.32538582955436,21.199797778779228,7.5471526E-8
-160.75796938453615,23.290552894363177,1.5113332E-6
-160.5123033361641,21.992321738861538,6.876149E-7
-159.7414956393225,24.23053696001434,1.1890438E-6
-157.76565924321585,21.829874383365805,4.820219E-7
-159.18960796060054,21.051099532942164,6.6201005E-7
-160.3948961243921,20.59098484083037,3.486038E-7
-159.39197836732342,22.53457111558302,5.1056977E-6
-160.39537708616353,22.73002951184849,1.4817888E-6
-159.26529103441212,21.11379484919199,4.908021E-7
-160.01581377636188,23.724011516260486,1.2758708E-6
-157.987505697854,23.421719806673433,8.6769677E-7
-157.10871167640533,22.7947827517686,6.558375E-7
-160.5082149816098,24.054081058888297,1.2406974E-6
-159.37418161085506,23.763233987091255,1.1536185E-6
-160.00167054176612,21.942706336235577,1.0162743E-6
-159.73958695275607,23.961259470676513,1.4166981E-6
-158.70959074566235,22.103734067411036,2.0697664E-6
-159.24655133412745,21.728208898332934,2.5421277E-6
-159.95471328241968,21.200649465258937,5.3555715E-7
-158.61505145722688,21.38458178128776,6.4806954E-7
-158.5881660980444,23.419073127268526,1.2966268E-6
-159.01239787835848,21.63186065695427,1.452195E-6
-160.62458956138266,21.742145580295706,4.1052058E-7
-159.2608658973538,24.076963784422098,2.4373135E-6
-157.96994033837362,22.584792904927003,1.313949E-6
-160.41931389433145,23.874105565269183,8.337087E-7
-157.34690045622517,21.575765124810495,2.876895E-7
-158.14221972117048,24.085341394387317,1.126727E-6
-161.20880962759304,22.887103492872548,3.742448E-7
-157.31137925994975,22.28218022290492,5.738751E-7
-159.21476786234038,22.85061951356131,3.156688E-6
-158.1118550306351,22.21095169859032,1.370797E-6
-158.06593325846674,21.799527771883113,6.0184027E-7
-159.83772901849323,23.982930227463896,2.2146796E-6
-160.90315303190033,22.45681348290419,4.0503213E-7
-160.8588521872057,21.39925094525864,3.3331509E-7
-157.3358604947128,22.440435669842657,2.374982E-6
-160.15312924617137,22.867961962651577,1.770731E-6
-159.4658422962459,24.322587034524453,1.2775376E-6
-159.33875954845044,24.11625983552085,7.4145686E-7
-161.001441030497,20.58650554766754,3.4756204E-7
-159.25692004340507,21.387052955548267,1.1342682E-6
-160.0056526183513,21.666330728481174,3.0089063E-6
-158.76633115432602,20.692829325781084,2.6825475E-7
-161.55068015777243,21.45545902779141,3.989919E-7
-159.45539133589475,23.92795177226244,1.0280562E-6
-158.5346396121115,23.621109627730174,1.1148472E-6
-157.68934217317275,23.06856481829694,5.13078E-7
-158.38784397410672,22.779960071487572,2.6186085E-6
-159.43634683938618,23.21559270998942,1.3835495E-6
-160.24080696140558,23.915679755352244,6.6488997E-7
-157.48841361839743,23.05927318600697,6.365727E-7
-159.43338736756377,22.329476380494768,4.4992466E-6
-158.9842647668338,22.609460471345162,2.029732E-6
-160.13664633613868,24.131334546081074,1.7576268E-6
-160.74775908233113,20.911381177535706,7.983103E-7
-159.9213942645285,24.126899194492488,3.2346982E-6
-161.18628809349264,21.88740575889081,4.6417296E-7
-160.90724718628152,20.65704697107221,3.3096657E-7
-158.51976086753842,23.962401628881707,5.2233867E-7
-159.8557475596256,24.32510182763407,8.1966266E-7
-158.47099674739442,22.27810829909146,3.3604276E-6
-159.26322174990136,20.071158240513874,6.2518595E-8
-159.83185840487516,21.523723332405353,1.314245E-6
-160.34105115795418,20.26241423753144,1.9689828E-7
-160.29914580392207,22.936972226232584,1.3197727E-6
-160.4386705391777,22.237490253332158,9.665524E-7
-161.46700733147753,21.556471581499057,2.0329918E-7
-159.55360364820456,20.1024367898124,5.3044882E-8
-157.42078445639586,22.942740546197726,7.5599183E-7
-160.20062776602927,24.140173073350496,4.7175666E-7
-157.6319634424522,21.613614553084044,3.644824E-7
-159.84546749062534,21.08663610910964,1.0531464E-6
