Longitude,Latitude,RFBO median
-157.05815497806864,22.00677673649134,2.315406E-5
-159.8681880674924,22.312930134640155,1.6756657E-4
-159.88425158383487,23.918706181383236,3.7413283E-5
-158.01313376506388,20.929557624796033,5.501154E-6
-158.8413748078489,21.679233268551936,4.3835196E-5
-160.81482856551256,20.84448070825835,1.5830681E-5
-157.35901027889926,23.175198062208384,8.392306E-6
-160.10383385696468,20.778183134110428,3.470735E-5
-160.30843427810936,21.154645777226584,3.4354256E-5
-159.2614581462391,23.490375192572042,1.1619493E-4
-159.46268558893033,22.46879039209991,3.1992365E-4
-160.15346509260613,22.459715697977657,1.0001458E-4
-161.25406542060486,21.135508467910597,1.13118085E-5
-159.68856839874942,23.383955141518232,1.399064E-4
-160.11882779732787,21.99868412997153,3.3717017E-6
-159.8390091463056,21.10601643257144,2.7922033E-5
-160.17394285315814,20.330359415825402,4.835108E-6
-159.75844336197503,20.987180316670415,4.1387353E-5
-160.9464942121439,21.661487440650994,2.3811885E-5
-157.32538582955436,21.199797778779164,4.179195E-6
-160.75796938453615,23.290552894363152,8.359604E-5
-160.5123033361641,21.992321738861488,2.1548747E-5
-159.7414956393225,24.23053696001434,3.400056E-5
-157.76565924321585,21.829874383365752,1.737462E-5
-159.18960796060054,21.051099532942096,3.777882E-5
-160.3948961243921,20.590984840830288,1.0985561E-5
-159.39197836732342,22.53457111558298,2.6153258E-4
-160.39537708616353,22.730029511848457,1.0752748E-4
-159.26529103441212,21.11379484919192,1.9915748E-5
-160.01581377636188,23.72401151626047,8.8708504E-5
-157.987505697854,23.421719806673416,4.006066E-5
-157.10871167640533,22.794782751768565,2.3926203E-5
-160.5082149816098,24.054081058888293,4.40728E-5
-159.37418161085506,23.763233987091244,8.347195E-5
-160.00167054176612,21.942706336235528,2.1986201E-5
-159.73958695275607,23.961259470676502,8.773039E-5
-158.70959074566235,22.10373406741099,7.354019E-5
-159.24655133412745,21.72820889833288,6.670128E-5
-159.95471328241968,21.200649465258874,4.259245E-5
-158.61505145722688,21.384581781287697,1.648025E-5
-158.5881660980444,23.419073127268504,8.993005E-5
-159.01239787835848,21.631860656954213,2.6967442E-5
-160.62458956138266,21.742145580295652,1.602845E-5
-159.2608658973538,24.07696378442209,1.09908295E-4
-157.96994033837362,22.584792904926967,1.11669484E-4
-160.41931389433145,23.874105565269172,5.350143E-5
-157.34690045622517,21.575765124810438,1.6066782E-5
-158.14221972117048,24.08534139438731,2.0527405E-5
-161.20880962759304,22.88710349287252,1.8353825E-5
-157.31137925994975,22.282180222904877,4.4444085E-5
-159.21476786234038,22.850619513561277,1.348154E-4
-158.1118550306351,22.21095169859028,1.1950461E-4
-158.06593325846674,21.79952777188306,2.0844567E-5
-159.83772901849323,23.98293022746389,6.5832886E-5
-160.90315303190033,22.456813482904153,4.8484267E-6
-160.8588521872057,21.399250945258576,1.3754231E-5
-157.3358604947128,22.440435669842618,1.01624E-4
-160.15312924617137,22.867961962651545,1.00363184E-4
-159.4658422962459,24.322587034524453,6.487168E-5
-159.33875954845044,24.116259835520847,5.6592828E-5
-161.001441030497,20.58650554766746,1.1726352E-5
-159.25692004340507,21.387052955548207,5.8040292E-5
-160.0056526183513,21.666330728481118,2.2729797E-5
-158.76633115432602,20.692829325781005,1.003253E-5
-161.55068015777243,21.45545902779135,2.5641373E-5
-159.45539133589475,23.92795177226243,1.0305577E-4
