X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-158.649585426676,22.4661060583403,train,3.4364322347818504E-4,95.02139662324393,0.9304907516207097
-158.696408213333,22.5197762999999,train,2.1990984682705277E-4,72.349143100404,0.8184564715392038
-158.850944361572,22.4002796318888,train,3.439748319584312E-4,95.04278130690938,0.9306693634128167
-158.724677563921,22.4911872360775,train,3.9871101686133345E-4,97.8704904613308,0.95465980336413
-159.07292792312,22.1798372851436,train,3.312309327054431E-4,93.60320910347265,0.9234636637939592
-158.976227746816,22.2062485686623,train,2.8875361357648475E-4,88.10800734272837,0.8935853626018785
-159.127599450225,22.2226338964456,train,3.4695761364334014E-4,95.23513417655714,0.9322554663604363
-159.22947429356,22.2367705854209,train,3.155834305112432E-4,91.75395301318598,0.9135839770305028
-159.215221448271,22.5139898862906,train,3.459499623900269E-4,95.17015301780872,0.9317237453532026
-159.400950763424,22.3260731579087,train,4.732457173824846E-4,99.27677157915156,0.9745711019033003
-159.135560751668,22.6904192783355,train,2.410296613155356E-4,78.12308253090163,0.845895830966344
-159.155743855734,22.7063006049211,train,2.5007740399885913E-4,80.12726693428249,0.8563430434778962
-159.619611,22.5843759,train,2.9313019306049474E-4,88.64291357706922,0.8971382690721589
-159.630767268677,22.5859138338469,train,2.954029793216302E-4,89.03286885787186,0.8989362674413003
-159.163811704516,22.6769737503426,train,2.4167638202276113E-4,78.2694886465251,0.8466671649906826
-159.649945469871,22.5682461357138,train,2.85553343987165E-4,87.65627062722646,0.8909099456455253
-159.556666,22.3417613,train,2.689514046998706E-4,84.78361827225557,0.8759125431664877
-159.619424973406,22.7075053977874,train,2.3980273509029474E-4,77.9009797453083,0.8444218152191698
-159.290131850548,22.3521597464929,train,3.6097554780050573E-4,96.14850748990354,0.9392370675792676
-159.8507732,22.6339461,train,1.8111786811371254E-4,60.07721059680559,0.7547007810538487
-159.2936171,22.3417267,train,3.63812362044068E-4,96.33636087834057,0.9405598832904939
-158.9725484,22.3855299,train,3.240865496912055E-4,92.77504830945158,0.9191012633853214
-158.926214607597,22.4609470453672,train,2.4240288037565369E-4,78.44076759189946,0.8475290450675295
-158.791887381933,22.5086412135669,train,1.9962433531669504E-4,66.5191834238246,0.7875112962880542
-158.470975566938,22.6291522892542,train,1.7741394918375223E-4,58.48151088703747,0.747549011239652
-158.412330134747,22.5860000127104,train,1.6175178773997426E-4,52.89080211646588,0.7149289737313533
-158.423221994104,22.5742804810973,train,1.5812540729487297E-4,51.24968201170965,0.7067940951439926
-158.412158955834,22.5893760224988,train,1.6175178773997426E-4,52.89080211646588,0.7149289737313533
-158.427816545836,22.5668302274985,train,1.6053381372281632E-4,52.33424101880758,0.7122222415788861
-159.271832495532,22.7781889063902,train,1.854314378297123E-4,61.734728032833075,0.7627747325486154
-159.210842286689,22.8309240584181,train,2.1534053159835315E-4,71.01111822321663,0.8119047772706813
-159.461544514425,22.2639097655084,train,2.4396346697177498E-4,78.71712409266088,0.8493640989473389
-159.4898346,22.3703399,train,3.111555660748116E-4,91.16041744207072,0.9105635342283515
-159.006544274505,23.0122567974662,train,2.5826771181354546E-4,82.53092149600324,0.8651881122326204
