variable,x,y
bathy,-5676.4,6.286053394433111E-5
bathy,-5662.4944,6.286053394433111E-5
bathy,-5648.5887999999995,6.286053394433111E-5
bathy,-5634.6831999999995,6.286053394433111E-5
bathy,-5620.777599999999,6.286053394433111E-5
bathy,-5606.871999999999,6.286053394433111E-5
bathy,-5592.966399999999,6.286053394433111E-5
bathy,-5579.060799999999,6.286053394433111E-5
bathy,-5565.155199999999,6.286053394433111E-5
bathy,-5551.249599999999,6.286053394433111E-5
bathy,-5537.344,6.286053394433111E-5
bathy,-5523.4384,6.286053394433111E-5
bathy,-5509.5328,6.286053394433111E-5
bathy,-5495.6272,6.286053394433111E-5
bathy,-5481.7216,6.286053394433111E-5
bathy,-5467.816,6.286053394433111E-5
bathy,-5453.9104,6.286053394433111E-5
bathy,-5440.0048,6.286053394433111E-5
bathy,-5426.0992,6.286053394433111E-5
bathy,-5412.1936,6.286053394433111E-5
bathy,-5398.288,6.286053394433111E-5
bathy,-5384.3823999999995,6.286053394433111E-5
bathy,-5370.4767999999995,6.286053394433111E-5
bathy,-5356.571199999999,6.286053394433111E-5
bathy,-5342.665599999999,6.286053394433111E-5
bathy,-5328.759999999999,6.286053394433111E-5
bathy,-5314.854399999999,6.286053394433111E-5
bathy,-5300.9488,6.286053394433111E-5
bathy,-5287.0432,6.286053394433111E-5
bathy,-5273.1376,6.286053394433111E-5
bathy,-5259.232,6.286053394433111E-5
bathy,-5245.3264,6.286053394433111E-5
bathy,-5231.4208,6.286053394433111E-5
bathy,-5217.5152,6.286053394433111E-5
bathy,-5203.6096,6.286053394433111E-5
bathy,-5189.704,6.286053394433111E-5
bathy,-5175.7984,6.286053394433111E-5
bathy,-5161.8928,6.286053394433111E-5
bathy,-5147.9872,6.286053394433111E-5
bathy,-5134.0815999999995,6.286053394433111E-5
bathy,-5120.1759999999995,6.286053394433111E-5
bathy,-5106.270399999999,6.286053394433111E-5
bathy,-5092.364799999999,6.389927148120478E-5
bathy,-5078.459199999999,6.712006143061444E-5
bathy,-5064.553599999999,7.050373824313283E-5
bathy,-5050.648,7.4058843892999E-5
bathy,-5036.742399999999,7.779395673424006E-5
bathy,-5022.8368,8.171808440238237E-5
bathy,-5008.9312,8.584113675169647E-5
bathy,-4995.0256,9.017308184411377E-5
bathy,-4981.12,9.472438978264108E-5
bathy,-4967.2144,9.950653475243598E-5
bathy,-4953.3088,1.0453111462993547E-4
bathy,-4939.4032,1.0981027298839763E-4
bathy,-4925.4976,1.1535736121004447E-4
bathy,-4911.592,1.211858179885894E-4
bathy,-4897.6864,1.2730977323371917E-4
bathy,-4883.7807999999995,1.3374470290727913E-4
bathy,-4869.8751999999995,1.4050623576622456E-4
bathy,-4855.969599999999,1.4761077181901783E-4
bathy,-4842.063999999999,1.550762972328812E-4
bathy,-4828.1584,1.6292095824610442E-4
bathy,-4814.252799999999,1.7116380331572145E-4
bathy,-4800.3472,1.7982572899200022E-4
bathy,-4786.4416,1.8892782100010663E-4
bathy,-4772.536,1.9197422079741955E-4
bathy,-4758.6304,1.8127365910913795E-4
bathy,-4744.7248,1.7074626521207392E-4
bathy,-4730.8192,1.6083213267847896E-4
bathy,-4716.9136,1.5149477985687554E-4
bathy,-4703.008,1.4270089741330594E-4
bathy,-4689.1024,1.3441905321087688E-4
bathy,-4675.1968,1.2661880464293063E-4
bathy,-4661.2912,1.1927235027542338E-4
bathy,-4647.3856,1.1235345300519839E-4
bathy,-4633.48,1.0583670518826693E-4
bathy,-4619.5743999999995,9.969891107175499E-5
