X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-158.649585426676,22.4661060583403,train,3.7188400800347506E-4,97.08008801372095,0.9433648218650958
-158.696408213333,22.5197762999999,train,2.339356235056779E-4,76.97416325488379,0.835705792413365
-158.850944361572,22.4002796318888,train,3.139016772535007E-4,91.9713166283921,0.911386693013202
-158.7243068,22.4908662,train,3.608418571529776E-4,96.30791754958626,0.9383248511581557
-159.07292792312,22.1798372851436,train,3.0892288563223464E-4,91.37526941614551,0.9079142024173329
-159.127599450225,22.2226338964456,train,3.9791847518514116E-4,97.77090082979436,0.9536773243324981
-159.22947429356,22.2367705854209,train,3.353758802221834E-4,94.44728661446229,0.924924762849205
-159.215221448271,22.5139898862906,train,3.5825573827785555E-4,96.11032554296513,0.9370810639716568
-159.400950763424,22.3260731579087,train,4.89561409640978E-4,99.85276093654859,0.9771693557188322
-159.135560751668,22.6904192783355,train,2.1399548494790293E-4,71.51514800928152,0.808362356941499
-159.417291933798,22.3004237064717,train,4.4071119613919504E-4,98.78829581205844,0.9667102004793806
-159.155743855734,22.7063006049211,train,2.2170907943716247E-4,73.7896061787119,0.8194417173253541
-159.619611,22.5843759,train,2.8874726293517337E-4,88.50979098266255,0.892392933376555
-159.630767268677,22.5859138338469,train,2.862219920414956E-4,88.18596648055987,0.8902744073302786
-159.163811704516,22.6769737503426,train,2.3669446462634938E-4,77.62215393792418,0.8391681872940425
-159.649945469871,22.5682461357138,train,2.768600436006358E-4,86.81099125480013,0.8820499274463218
-159.556666,22.3417613,train,2.303665873976712E-4,76.26462325178343,0.8311157684751359
-159.619424973406,22.7075053977874,train,2.480657598228934E-4,80.64346420298017,0.852685867639206
-159.298309990104,22.3325386297902,train,4.4775874435514916E-4,99.01125200642097,0.968473119285599
-159.290131850548,22.3521597464929,train,4.705717043900184E-4,99.51521884853983,0.9735643515718564
-159.8507732,22.6339461,train,2.4339007197514013E-4,79.48976769960328,0.8472708883312101
-159.2936171,22.3417267,train,4.935582742925863E-4,99.88825606008912,0.9778630989525378
-158.9725484,22.3855299,train,3.238631786643315E-4,92.79563007610871,0.9179462587047673
-158.987102824186,22.3587904967336,train,3.358369158013752E-4,94.50784468331968,0.9251915120081966
-158.470975566938,22.6291522892542,train,1.7513561734069767E-4,57.72679294977254,0.7413118339272557
-158.412330134747,22.5860000127104,train,1.5286990100839946E-4,48.90588001678286,0.6927918665979156
-158.423221994104,22.5742804810973,train,1.5370644655046084E-4,49.28068697337835,0.6947695883606235
-158.412158955834,22.5893760224988,train,1.5247183176901973E-4,48.71487964657253,0.6918462753412309
-158.427816545836,22.5668302274985,train,1.5780476280152672E-4,51.327100254910285,0.7042761884663633
-159.271832495532,22.7781889063902,train,2.2129713954123712E-4,73.62586920657851,0.8188665599995884
-159.290466124192,22.7283081772658,train,2.063961050609185E-4,69.03342551248255,0.7967824230331455
-159.210842286689,22.8309240584181,train,2.2364891875764804E-4,74.26529922422188,0.8221257000681611
-159.461544514425,22.2639097655084,train,2.8815606034496554E-4,88.4351394215135,0.891900652198916
-159.4898346,22.3703399,train,2.993697461708099E-4,90.21375575220277,0.9008656901024045
-159.006544274505,23.0122567974662,train,2.62429950699408E-4,83.96832157093911,0.8681494955043613
-158.997551676954,22.9950889218755,train,2.5864769166631296E-4,83.30043854577067,0.8642425803811555
-158.985802648447,22.9967366987464,train,2.5819623152421314E-4,83.22078358027964,0.863768573478849
-159.064934208202,22.8817348314626,train,1.9225364124560138E-4,63.46605444604936,0.7733370993020852
-159.013659424663,22.955567741269,train,3.524882322391786E-4,95.76921912255463,0.9342161009620331
-159.285580979803,22.3285295435082,train,3.26930498138568E-4,93.17189648544539,0.9198665620308951
-158.977983479669,22.9848744926658,train,2.690558946765982E-4,85.25605762094177,0.874724759962318
-159.054844607611,22.7667774956771,train,1.8917775445145347E-4,62.52796473674566,0.7678900380858872
-158.977990950847,22.985162836415,train,2.6892666747149475E-4,85.22265379169744,0.8745997108961786
-159.019024151262,22.7487814241023,train,1.6467498137621523E-4,53.656872521408076,0.719553064433764
-159.699380640456,22.5004625288231,train,3.1138657789463577E-4,91.70141568750256,0.9096492041669795
