Longitude,Latitude,RFBO min
-157.05815497806864,22.006776736491386,3.564919E-5
-159.8681880674924,22.312930134640197,1.489049E-4
-159.88425158383487,23.918706181383246,3.92058E-5
-158.01313376506388,20.929557624796104,6.5190197E-6
-158.8413748078489,21.67923326855199,6.5948276E-5
-160.81482856551256,20.844480708258423,1.643889E-5
-157.35901027889926,23.17519806220841,1.3376079E-5
-160.10383385696468,20.778183134110506,3.0983487E-5
-160.30843427810936,21.15464577722665,3.1422973E-5
-159.2614581462391,23.49037519257206,1.0565199E-4
-159.46268558893033,22.468790392099947,2.6849756E-4
-160.15346509260613,22.459715697977696,1.0822355E-4
-161.25406542060486,21.135508467910665,9.775953E-6
-159.68856839874942,23.383955141518253,1.3411173E-4
-160.11882779732787,21.99868412997158,4.2940866E-7
-159.8390091463056,21.106016432571508,1.5365016E-5
-160.17394285315814,20.330359415825487,8.550332E-6
-159.75844336197503,20.987180316670486,3.9360173E-5
-160.9464942121439,21.661487440651047,2.2835E-5
-157.32538582955436,21.199797778779228,4.157257E-6
-160.75796938453615,23.290552894363177,8.114467E-5
-160.5123033361641,21.992321738861538,1.5353005E-5
-159.7414956393225,24.23053696001434,4.7500238E-5
-157.76565924321585,21.829874383365805,1.6635813E-5
-159.18960796060054,21.051099532942164,3.5621888E-5
-160.3948961243921,20.59098484083037,1.3961105E-5
-159.39197836732342,22.53457111558302,3.3550235E-4
-160.39537708616353,22.73002951184849,7.978086E-5
-159.26529103441212,21.11379484919199,1.50966525E-5
-160.01581377636188,23.724011516260486,1.04440405E-4
-157.987505697854,23.421719806673433,4.5584013E-5
-157.10871167640533,22.7947827517686,3.2744065E-5
-160.5082149816098,24.054081058888297,6.4706925E-5
-159.37418161085506,23.763233987091255,9.870781E-5
-160.00167054176612,21.942706336235577,6.2611352E-6
-159.73958695275607,23.961259470676513,7.5765616E-5
-158.70959074566235,22.103734067411036,7.8607794E-5
-159.24655133412745,21.728208898332934,9.3204275E-5
-159.95471328241968,21.200649465258937,3.5095167E-5
-158.61505145722688,21.38458178128776,1.1337539E-5
-158.5881660980444,23.419073127268526,7.555114E-5
-159.01239787835848,21.63186065695427,3.3614026E-5
-160.62458956138266,21.742145580295706,1.0356528E-5
-159.2608658973538,24.076963784422098,8.945827E-5
-157.96994033837362,22.584792904927003,9.1458125E-5
-160.41931389433145,23.874105565269183,6.33798E-5
-157.34690045622517,21.575765124810495,2.2054612E-5
-158.14221972117048,24.085341394387317,3.225961E-5
-161.20880962759304,22.887103492872548,2.0074653E-5
-157.31137925994975,22.28218022290492,5.7783178E-5
-159.21476786234038,22.85061951356131,8.936189E-5
-158.1118550306351,22.21095169859032,8.39968E-5
-158.06593325846674,21.799527771883113,9.938785E-6
-159.83772901849323,23.982930227463896,6.9449605E-5
-160.90315303190033,22.45681348290419,2.5911643E-6
-160.8588521872057,21.39925094525864,1.1609385E-5
-157.3358604947128,22.440435669842657,1.3719151E-4
-160.15312924617137,22.867961962651577,1.0462213E-4
-159.4658422962459,24.322587034524453,6.2084044E-5
-159.33875954845044,24.11625983552085,6.0771818E-5
-161.001441030497,20.58650554766754,1.7766948E-5
-159.25692004340507,21.387052955548267,4.6806366E-5
-160.0056526183513,21.666330728481174,8.117552E-6
-158.76633115432602,20.692829325781084,1.2934395E-5
-161.55068015777243,21.45545902779141,2.804612E-5
-159.45539133589475,23.92795177226244,8.772905E-5
-158.5346396121115,23.621109627730174,5.3523054E-5
-157.68934217317275,23.06856481829694,3.313916E-5
-158.38784397410672,22.779960071487572,1.3604418E-4
-159.43634683938618,23.21559270998942,1.0871477E-4
-160.24080696140558,23.915679755352244,6.9409114E-5
-157.48841361839743,23.05927318600697,3.407331E-5
-159.43338736756377,22.329476380494768,2.275378E-4
-158.9842647668338,22.609460471345162,1.4513121E-4
-160.13664633613868,24.131334546081074,6.0035713E-5
-160.74775908233113,20.911381177535706,2.9790772E-5
-159.9213942645285,24.126899194492488,6.526795E-5
-161.18628809349264,21.88740575889081,2.443329E-5
-160.90724718628152,20.65704697107221,1.38882015E-5
-158.51976086753842,23.962401628881707,5.973073E-5
-159.8557475596256,24.32510182763407,1.0728259E-4
-158.47099674739442,22.27810829909146,2.9604277E-4
-159.26322174990136,20.071158240513874,1.0256921E-5
-159.83185840487516,21.523723332405353,5.3437812E-5
-160.34105115795418,20.26241423753144,1.9831163E-5
-160.29914580392207,22.936972226232584,6.067528E-5
-160.4386705391777,22.237490253332158,2.6429596E-5
-161.46700733147753,21.556471581499057,2.4809651E-5
-159.55360364820456,20.1024367898124,7.877474E-6
-157.42078445639586,22.942740546197726,3.5799472E-5
-160.20062776602927,24.140173073350496,9.919018E-6
-157.6319634424522,21.613614553084044,1.2972085E-5
-159.84546749062534,21.08663610910964,2.13441E-5
-159.56121137819224,24.45067191335298,3.00517E-5
-160.57828819580155,22.09637020183566,9.313582E-6
-160.931095131618,20.735050801622787,2.0546175E-5
-159.7105526883774,22.47713431444496,2.9126697E-4
-158.06228487211382,23.538220402212808,4.798281E-5
-160.16899324667992,21.394903811221223,6.9854227E-6
-161.39687073969435,21.36102052192231,2.6706051E-5
-161.41159896835921,22.535491259069282,2.963384E-5
-159.48023821697433,21.154621017627306,8.320272E-6
-161.62428676606893,22.75034141855319,1.9826231E-5
-160.3101518175469,23.35212102515527,1.3434555E-4
-159.00643301028433,23.9190002943824,3.9460156E-5
-157.99926966586912,21.068339156922757,3.9965E-6
-159.05378889645147,24.326503155350363,6.4168256E-5
-157.7267416835313,20.655769068732507,2.0712389E-7
-160.60842682393712,23.991662399817535,1.7671206E-5
-158.9746952358991,20.61771760815817,1.2399749E-5
-159.0101132263466,24.157802311490343,7.8627716E-5
-160.10114330542206,20.33898789680726,7.5911466E-6
-159.17166768246182,20.246703424062957,7.5422445E-6
-159.30344900242397,21.1623186138963,6.9368525E-6
-159.66933192976063,23.10973584613487,1.2202307E-4
-160.11133006610072,22.60050775245961,1.1048254E-4
-160.66619092664845,23.903812185218122,2.3963099E-5
-158.81516561834022,24.297018593645788,9.40431E-5
-157.66387034117588,23.738826637979265,3.4746095E-5
-158.2321701890417,22.833648343808868,1.3037612E-4
-159.488179139523,23.09358546617735,2.1819166E-4
-160.03005471556142,20.668313891352124,1.9125207E-5
-160.55452454143148,22.42484793248574,3.4763376E-5
-157.98570472411558,23.924320621972466,4.4151202E-5
-159.1771228994165,21.04921668234678,1.1574883E-5
-157.337818428363,22.46920972244944,8.115659E-5
-158.72090444312258,23.81826248591974,6.698109E-5
-160.54980738543847,22.44288446035527,1.6967175E-6
-159.5576755046783,21.80874148728617,5.7600526E-5
-160.09274496374667,21.407938610207463,2.3087301E-5
-161.71708868762167,22.480691918438016,2.6790161E-5
-158.1088101830349,23.970830208185507,3.501074E-5
-160.0038504088225,22.917061191910825,1.6429316E-4
-159.51007093052368,22.563907434985484,1.6247071E-4
-158.40058837008726,21.471110159404404,8.5456395E-6
-160.07483058911546,24.07927882978514,7.7472076E-5
-160.94966649377287,21.90953299657346,2.6591799E-5
-159.5047987402692,23.994685717495972,2.7162228E-5
-158.31408995223902,22.18462709574716,9.790816E-5
-158.9902605453235,23.17876837774983,7.914247E-5
-161.4787010674587,22.394641154404656,1.3649704E-5
-158.26385531092996,21.20720827601266,7.0815163E-6
-159.86733937365875,24.025680686949087,9.615473E-5
-160.82857990247356,22.614739296908184,2.9898769E-5
-157.7586275805294,22.987822763748976,4.2990963E-5
-159.2734218694177,22.781638690155624,1.287089E-4
-160.26164662847063,20.203638203539885,1.0751842E-5
-160.80278596871457,23.590137357318916,6.112977E-6
-160.3936643981816,23.053440279613643,1.2254379E-4
-158.45651799068898,20.274369881901297,1.874552E-5
-159.6469017736885,24.184287575183532,6.901973E-5
