Longitude,Latitude,RFBO max
-157.05815497806864,22.006776736491386,3.9624985E-5
-159.8681880674924,22.312930134640197,1.5746572E-4
-159.88425158383487,23.918706181383246,4.3684333E-5
-158.01313376506388,20.929557624796104,7.598939E-6
-158.8413748078489,21.67923326855199,7.464452E-5
-160.81482856551256,20.844480708258423,1.7954464E-5
-157.35901027889926,23.17519806220841,1.6194394E-5
-160.10383385696468,20.778183134110506,3.3489552E-5
-160.30843427810936,21.15464577722665,3.350096E-5
-159.2614581462391,23.49037519257206,1.1124564E-4
-159.46268558893033,22.468790392099947,2.8239816E-4
-160.15346509260613,22.459715697977696,1.1415999E-4
-161.25406542060486,21.135508467910665,1.0413955E-5
-159.68856839874942,23.383955141518253,1.4213794E-4
-160.11882779732787,21.99868412997158,7.0579785E-7
-159.8390091463056,21.106016432571508,1.9671914E-5
-160.17394285315814,20.330359415825487,9.539654E-6
-159.75844336197503,20.987180316670486,4.334359E-5
-160.9464942121439,21.661487440651047,2.470833E-5
-157.32538582955436,21.199797778779228,5.653187E-6
-160.75796938453615,23.290552894363177,8.79986E-5
-160.5123033361641,21.992321738861538,1.6903618E-5
-159.7414956393225,24.23053696001434,5.260515E-5
-157.76565924321585,21.829874383365805,1.8940313E-5
-159.18960796060054,21.051099532942164,3.7770125E-5
-160.3948961243921,20.59098484083037,1.5063542E-5
-159.39197836732342,22.53457111558302,3.4997892E-4
-160.39537708616353,22.73002951184849,8.6538086E-5
-159.26529103441212,21.11379484919199,1.6524658E-5
-160.01581377636188,23.724011516260486,1.1366286E-4
-157.987505697854,23.421719806673433,5.000248E-5
-157.10871167640533,22.7947827517686,3.473871E-5
-160.5082149816098,24.054081058888297,7.0545226E-5
-159.37418161085506,23.763233987091255,1.04367966E-4
-160.00167054176612,21.942706336235577,7.997532E-6
-159.73958695275607,23.961259470676513,8.255262E-5
-158.70959074566235,22.103734067411036,8.589477E-5
-159.24655133412745,21.728208898332934,1.0510672E-4
-159.95471328241968,21.200649465258937,3.7277194E-5
-158.61505145722688,21.38458178128776,1.30210165E-5
-158.5881660980444,23.419073127268526,7.954804E-5
-159.01239787835848,21.63186065695427,3.9828876E-5
-160.62458956138266,21.742145580295706,1.2330856E-5
-159.2608658973538,24.076963784422098,9.932161E-5
-157.96994033837362,22.584792904927003,9.737679E-5
-160.41931389433145,23.874105565269183,6.8209636E-5
-157.34690045622517,21.575765124810495,2.5340187E-5
-158.14221972117048,24.085341394387317,3.585383E-5
-161.20880962759304,22.887103492872548,2.2646142E-5
-157.31137925994975,22.28218022290492,6.0623133E-5
-159.21476786234038,22.85061951356131,9.4484705E-5
-158.1118550306351,22.21095169859032,8.85455E-5
-158.06593325846674,21.799527771883113,1.25611E-5
-159.83772901849323,23.982930227463896,7.7262426E-5
-160.90315303190033,22.45681348290419,3.2557684E-6
-160.8588521872057,21.39925094525864,1.3195546E-5
-157.3358604947128,22.440435669842657,1.4552913E-4
-160.15312924617137,22.867961962651577,1.11795525E-4
-159.4658422962459,24.322587034524453,6.5557964E-5
-159.33875954845044,24.11625983552085,6.689715E-5
-161.001441030497,20.58650554766754,2.2258522E-5
-159.25692004340507,21.387052955548267,5.0490402E-5
-160.0056526183513,21.666330728481174,1.6115095E-5
-158.76633115432602,20.692829325781084,1.4561851E-5
-161.55068015777243,21.45545902779141,3.0489313E-5
-159.45539133589475,23.92795177226244,9.898191E-5
-158.5346396121115,23.621109627730174,5.8638834E-5
-157.68934217317275,23.06856481829694,3.489896E-5
-158.38784397410672,22.779960071487572,1.4436916E-4
-159.43634683938618,23.21559270998942,1.1384005E-4
-160.24080696140558,23.915679755352244,7.530443E-5
-157.48841361839743,23.05927318600697,3.6324753E-5
-159.43338736756377,22.329476380494768,2.4263398E-4
-158.9842647668338,22.609460471345162,1.5124216E-4
-160.13664633613868,24.131334546081074,6.703673E-5
-160.74775908233113,20.911381177535706,3.2464177E-5
-159.9213942645285,24.126899194492488,7.412591E-5
-161.18628809349264,21.88740575889081,2.709007E-5
-160.90724718628152,20.65704697107221,1.8270124E-5
-158.51976086753842,23.962401628881707,6.374844E-5
-159.8557475596256,24.32510182763407,1.1970804E-4
-158.47099674739442,22.27810829909146,3.0851687E-4
-159.26322174990136,20.071158240513874,1.1269377E-5
-159.83185840487516,21.523723332405353,5.8155067E-5
-160.34105115795418,20.26241423753144,2.1486643E-5
-160.29914580392207,22.936972226232584,6.892432E-5
-160.4386705391777,22.237490253332158,2.786247E-5
-161.46700733147753,21.556471581499057,2.6144966E-5
-159.55360364820456,20.1024367898124,8.703452E-6
-157.42078445639586,22.942740546197726,3.8345977E-5
-160.20062776602927,24.140173073350496,1.277283E-5
-157.6319634424522,21.613614553084044,1.610678E-5
-159.84546749062534,21.08663610910964,2.4905026E-5
-159.56121137819224,24.45067191335298,3.6985097E-5
-160.57828819580155,22.09637020183566,1.0912059E-5
-160.931095131618,20.735050801622787,2.3317403E-5
-159.7105526883774,22.47713431444496,3.0504854E-4
-158.06228487211382,23.538220402212808,5.216548E-5
-160.16899324667992,21.394903811221223,1.3362547E-5
-161.39687073969435,21.36102052192231,2.8936018E-5
-161.41159896835921,22.535491259069282,3.3013177E-5
-159.48023821697433,21.154621017627306,1.2715933E-5
-161.62428676606893,22.75034141855319,2.2264088E-5
-160.3101518175469,23.35212102515527,1.4633156E-4
-159.00643301028433,23.9190002943824,4.2896107E-5
-157.99926966586912,21.068339156922757,5.008651E-6
-159.05378889645147,24.326503155350363,6.930509E-5
-157.7267416835313,20.655769068732507,5.273382E-7
-160.60842682393712,23.991662399817535,1.9785843E-5
-158.9746952358991,20.61771760815817,1.3869041E-5
-159.0101132263466,24.157802311490343,8.58381E-5
-160.10114330542206,20.33898789680726,8.610868E-6
-159.17166768246182,20.246703424062957,9.143371E-6
-159.30344900242397,21.1623186138963,1.28546235E-5
-159.66933192976063,23.10973584613487,1.2754521E-4
-160.11133006610072,22.60050775245961,1.2262983E-4
