variable,x,y
bathy,-5676.4,1.012162392726168E-4
bathy,-5662.4944,1.012162392726168E-4
bathy,-5648.5887999999995,1.012162392726168E-4
bathy,-5634.6831999999995,1.012162392726168E-4
bathy,-5620.777599999999,1.012162392726168E-4
bathy,-5606.871999999999,1.012162392726168E-4
bathy,-5592.966399999999,1.012162392726168E-4
bathy,-5579.060799999999,1.012162392726168E-4
bathy,-5565.155199999999,1.012162392726168E-4
bathy,-5551.249599999999,1.012162392726168E-4
bathy,-5537.344,1.012162392726168E-4
bathy,-5523.4384,1.012162392726168E-4
bathy,-5509.5328,1.012162392726168E-4
bathy,-5495.6272,1.012162392726168E-4
bathy,-5481.7216,1.012162392726168E-4
bathy,-5467.816,1.012162392726168E-4
bathy,-5453.9104,1.012162392726168E-4
bathy,-5440.0048,1.012162392726168E-4
bathy,-5426.0992,1.012162392726168E-4
bathy,-5412.1936,1.012162392726168E-4
bathy,-5398.288,1.012162392726168E-4
bathy,-5384.3823999999995,1.012162392726168E-4
bathy,-5370.4767999999995,1.012162392726168E-4
bathy,-5356.571199999999,1.012162392726168E-4
bathy,-5342.665599999999,1.012162392726168E-4
bathy,-5328.759999999999,1.012162392726168E-4
bathy,-5314.854399999999,1.012162392726168E-4
bathy,-5300.9488,1.012162392726168E-4
bathy,-5287.0432,1.012162392726168E-4
bathy,-5273.1376,1.012162392726168E-4
bathy,-5259.232,1.012162392726168E-4
bathy,-5245.3264,1.012162392726168E-4
bathy,-5231.4208,1.012162392726168E-4
bathy,-5217.5152,1.012162392726168E-4
bathy,-5203.6096,1.012162392726168E-4
bathy,-5189.704,1.012162392726168E-4
bathy,-5175.7984,1.012162392726168E-4
bathy,-5161.8928,1.012162392726168E-4
bathy,-5147.9872,1.012162392726168E-4
bathy,-5134.0815999999995,1.012162392726168E-4
bathy,-5120.1759999999995,1.012162392726168E-4
bathy,-5106.270399999999,1.012162392726168E-4
bathy,-5092.364799999999,1.0199516691500321E-4
bathy,-5078.459199999999,1.0436811135150492E-4
bathy,-5064.553599999999,1.067961857188493E-4
bathy,-5050.648,1.0928082338068634E-4
bathy,-5036.742399999999,1.1182327580172569E-4
bathy,-5022.8368,1.1442477989476174E-4
bathy,-5008.9312,1.1708690726663917E-4
bathy,-4995.0256,1.1981096758972853E-4
bathy,-4981.12,1.2259829964023083E-4
bathy,-4967.2144,1.2545059144031256E-4
bathy,-4953.3088,1.2836922542192042E-4
bathy,-4939.4032,1.3135567132849246E-4
bathy,-4925.4976,1.3441168994177133E-4
bathy,-4911.592,1.3753882376477122E-4
bathy,-4897.6864,1.407385861966759E-4
bathy,-4883.7807999999995,1.4401291264221072E-4
bathy,-4869.8751999999995,1.4464056584984064E-4
bathy,-4855.969599999999,1.445898087695241E-4
bathy,-4842.063999999999,1.44539080793038E-4
bathy,-4828.1584,1.4448836736846715E-4
bathy,-4814.252799999999,1.4443768304772675E-4
bathy,-4800.3472,1.4438699872698635E-4
bathy,-4786.4416,1.443363435100764E-4
bathy,-4772.536,1.4419415674638003E-4
bathy,-4758.6304,1.350013044429943E-4
bathy,-4744.7248,1.2613610306289047E-4
bathy,-4730.8192,1.1785334936575964E-4
bathy,-4716.9136,1.1011421156581491E-4
bathy,-4703.008,1.0288328485330567E-4
bathy,-4689.1024,9.61274272412993E-5
bathy,-4675.1968,8.98149810382165E-5
bathy,-4661.2912,8.391705341637135E-5
bathy,-4647.3856,7.840662146918476E-5
bathy,-4633.48,7.325785554712638E-5
