Longitude,Latitude,RFBO cloglog values
-158.65926688029083,22.447686761032323,0.645354
-158.0282506604148,23.502512065149393,0.46602994
-157.90913480689565,22.620436724565963,0.52356845
-158.66508293684092,23.28128728921796,0.6134285
-159.11338507008327,21.958523386782705,0.6463689
-159.53927143274774,23.653940360696016,0.6367067
-161.39984634724797,21.043447519474554,0.35455847
-158.2804597724057,20.671118517106546,0.3585975
-159.58181574294818,22.981054585067337,0.49010712
-158.26813203012773,22.213138198500125,0.60947
-158.89858814732432,23.23955624516749,0.65098405
-161.40642950080013,21.98271995604434,0.33776024
-160.3750739165049,22.163703490098943,0.6138213
-160.68935583780333,21.527401440263297,0.37811965
-158.69031904266936,20.73209494198923,0.3502234
-160.9006490701602,21.23206558782157,0.50325805
-158.5286197731753,23.376677730183385,0.6677093
-157.30364499174155,21.616471095120524,0.19020171
-158.4700196879362,22.87670848565753,0.66013485
-159.1696404170593,24.05325768410755,0.6487575
-161.73500653700452,22.034114624053398,0.3657103
-158.00661878240396,22.70115239633457,0.4926352
-160.7355423319194,21.793002754909175,0.50851536
-161.0013208747701,21.76388660304892,0.5361395
-159.27313110752223,24.161327072893464,0.64181924
-158.94069169975955,23.8652793503881,0.61019826
-160.55623812074813,22.520383706980724,0.43823478
-157.3971752679896,22.434608631951033,0.23908447
-157.7804257310549,22.605622731323542,0.4257124
-159.30159337655678,21.61268084983436,0.36996433
-158.78838479024498,23.431804289679494,0.62759465
-158.89285726412845,22.913126306317174,0.60141474
-160.45852611228568,21.962122258190128,0.63565975
-159.12844245178454,23.39245772678996,0.632061
-157.5041352648058,23.01877121831958,0.116598666
-159.0323042866247,22.6856790002788,0.6075632
-158.48821148799246,20.883380926369597,0.34658667
-160.29188938731974,21.340108744574735,0.6072114
-160.89032732091545,21.587988921915287,0.5446825
-160.61526331003535,22.3063490367438,0.59100723
-160.19160344006983,23.83415595438048,0.69072336
-161.4072519634461,23.2565142118527,0.53702456
-159.8450631691038,23.529456232299513,0.67878264
-160.50066095426132,21.245343882918192,0.6113257
-159.59223156771105,21.824031553174738,0.32587516
-157.06753036019006,22.348977636706238,0.13645399
-159.5159432250403,20.31737904379542,0.498465
-159.65263000189228,21.759387933639157,0.6397491
-161.1614975264282,20.904418922152367,0.40956014
-158.38978149540824,23.917416773468034,0.34095293
-160.03527314614024,21.3446014180913,0.61994547
-157.84665062143722,20.805358259924358,0.2569087
-157.49329736787502,22.923013617008117,0.18532619
-159.28892389071964,22.887442934951686,0.63294274
-157.80527716051395,20.89654474003443,0.22102308
-158.4357448885479,21.650169201767525,0.49357823
-160.17359517892373,22.51346104805993,0.6642666
-157.5529206506089,21.538920277231657,0.3222757
-157.96522183810916,20.47113488287269,0.32323113
-158.86335387025147,22.5472051738242,0.65378314
-158.5563108106224,21.63782472669613,0.26165968
-160.2447670375676,23.817665676919216,0.5931703
-159.43518394054658,19.969658937690898,0.31263515
-160.94882675354776,21.564069085206018,0.43574756
-159.49805653211268,24.037887813814695,0.6247665
-161.5355455296689,22.98463471506213,0.14381456
-160.61188299400683,21.669696973457828,0.44735646
-159.82320215543356,20.345104320411846,0.42787573
-161.18849575968068,23.311985405693108,0.57117385
-157.79548757166663,23.777134435727046,0.15311265
-161.29991660398173,21.929835377578854,0.43392465
-159.90838144370267,22.69277588936741,0.40722966
-161.3985759189918,23.061241039641377,0.33274
-160.48630497136892,23.334284297050516,0.68700206
-158.66744583618933,21.94837508700543,0.52052116
-157.19109328632567,22.886242307233427,0.16376753
-161.2927515285017,22.24271800976659,0.41525057
-158.58319410083462,23.340863108269517,0.5922355
-158.19068550922464,20.842837370665897,0.33898512
-159.896436084033,21.608614740381213,0.18533278
-161.05051238824984,23.368542240500368,0.43483844
-158.276910703335,23.770209456157787,0.45188895
-159.0507475839945,21.004370676235386,0.4050867
-158.03798417233978,23.05485188251589,0.5163277
-160.68084280919268,20.7964808453384,0.41003442
-160.22244265284652,23.60946411796361,0.64406097
-159.03935660993622,20.30456456415959,0.46866375
-161.1401489821504,23.46861036671734,0.5855862
-158.9736714836966,20.696613967964502,0.32669094
-159.08047692284322,22.74896141405057,0.6335333
-161.0283122312128,21.80769707233145,0.58362734
-158.76331075636236,20.158738324625336,0.33647454
-157.7452298518332,23.005230276985547,0.23368497
-159.27211073277388,20.703934856956238,0.32085052
-157.88559361715386,20.651976108945828,0.31394342
-159.11459951983298,22.66062224327812,0.63439095
-157.96780470366448,23.12493747684513,0.59198254
-159.58264826973647,23.246965485471467,0.6713528
-158.22132819219476,22.079107800255123,0.57354575
-157.19070634862769,21.848075476634794,0.19050765
-157.55015165713473,22.918517344681717,0.18262747
-158.20915597385135,23.96331078166643,0.45165825
-160.6541512118701,22.541026913324608,0.097047195
-157.92990890437918,20.897844656686676,0.2533873
-157.67174065480253,22.941665532866644,0.23201425
-159.12562883118122,23.738324080640563,0.56737614
-160.19304969836483,22.779193220314745,0.6530465
-158.29331393564578,23.007107327021362,0.6543849
-160.7395393755472,21.33943191141959,0.5868049
-157.32513647278626,23.040450993363464,0.40918276
-160.35662486627947,21.93557584870081,0.5697822
-157.5265155967192,22.42034793395801,0.6846474
-160.15995442339002,22.01082604512906,0.2774088
-161.22761987417144,21.12929021709648,0.3732891
-160.68284708889487,22.312318282826883,0.09645471
