Longitude,Latitude,RFBO cloglog values
-159.159260104773,22.6726741202476,0.72054946
-161.515151323083,21.3680266445682,0.16603237
-158.284413712114,20.6372756565613,0.1667405
-159.151984336029,24.1722607157812,0.62236464
-157.295745476557,22.5251204222679,0.57903254
-159.407159447723,20.9431819449276,0.31157765
-158.88700058866,20.5228457790451,0.5171675
-160.248026232723,22.032209826026,0.24293779
-158.998913609669,21.4665050724447,0.38124886
-161.025322809648,22.1829289373464,0.1839289
-158.167056429627,23.1657158363126,0.4873807
-157.876083457837,20.5803199366785,0.46147093
-161.456545509592,21.9889250558095,0.21357343
-160.377807555192,20.3378097568733,0.20103137
-160.43918345927,23.597039113418,0.6961524
-157.498433525013,21.2764969101884,0.49481225
-160.345117103883,20.6886500629525,0.3322398
-159.546156430047,24.0160500690662,0.7156189
-157.503760035243,21.0647781993485,0.5776871
-160.363675980641,23.0765679556441,0.40856734
-159.911259110678,22.4876171389895,0.5067981
-160.338845465676,20.8913431806001,0.3556644
-157.199874025148,22.914437602215,0.52803934
-160.319832503629,23.3934864821447,0.51141524
-157.453570805035,21.1665220524465,0.57845956
-160.923307483977,22.5366029940614,0.5155352
-159.918824834978,20.9544184101465,0.2374333
-157.516385477736,22.0971311696444,0.62564665
-157.737876069491,21.2508139645228,0.19025528
-158.74743939032,22.9043736770121,0.3467377
-157.310969978491,22.4186442637518,0.9034529
-158.114614503491,22.8685945293842,0.6178624
-161.064043937942,23.6624999557865,0.2682932
-157.552835914534,22.9938660688798,0.41537693
-160.729412434949,23.3902089409301,0.80749536
-158.716898537592,23.6429895518039,0.73244625
-158.77573406158,22.4231233764433,0.59071374
-158.136893076737,23.8515448748278,0.36512914
-161.057325341769,23.6486944573426,0.33048403
-161.557709634061,22.3841109020052,0.25254938
-159.760511138933,23.9936336452506,0.65747225
-159.289017471922,22.9591312396014,0.87870705
-158.793605088489,20.9205616713591,0.15092528
-159.263692924884,20.3460920440265,0.14016359
-158.811343908198,24.2543113538497,0.44649425
-157.465956793858,21.7256221874144,0.49255168
-159.592289233826,20.6850369194509,0.13623878
-159.083032810145,20.1952757276847,0.18270083
-159.910837683805,22.3132863456869,0.5418028
-158.576662350569,22.403859071604,0.9173971
-157.381354847823,23.4102095251058,0.5453959
-160.020923032413,23.2393508476079,0.7313589
-159.95001876208,22.9338862637847,0.46306878
-157.111088361806,22.5330141887056,0.5020899
-160.946113243146,21.0200690446161,0.2283444
-160.200514141538,23.0923675004761,0.6612694
-160.409866802819,20.5950960235189,0.16415355
-158.251541956383,23.5551127994321,0.4077041
-158.300930175252,20.7915804340987,0.37360632
-159.871868772279,20.8643881724334,0.40723842
-159.685267675447,21.8649188939461,0.30471608
-158.934145725044,21.2729671953792,0.6066838
-159.962328353337,22.2692360109517,0.6627504
-160.844984949886,21.7573116114517,0.21141829
-161.579375529297,21.5061630056351,0.24420834
-160.236633839463,22.7835678772854,0.6363249
-158.66648965991,23.6138234784001,0.6295651
-158.991846214189,23.5101646264004,0.74116534
-159.634605093923,21.4174184804221,0.3760211
-161.462980075292,21.284841248679,0.15808725
-160.050035238815,20.6382873414552,0.100926146
-160.927614270345,20.9178051008628,0.22996859
-160.459920357787,21.1524701459349,0.2775141
-158.025524194904,22.45186920971,0.9066547
-160.666848983326,20.8514240024788,0.23994969
-159.337409063348,22.9894196841258,0.8655852
-158.956942078785,21.5171199940765,0.4810788
-159.995051848897,22.8755891369002,0.6188077
-158.396128122045,23.9832617691469,0.42396843
-159.036765693291,23.8908739044008,0.4214371
-159.498829833789,20.9215646660297,0.19162211
-158.26766403353,23.4529632564293,0.43680322
-159.558871146929,20.5588017237795,0.22465144
-160.013241225462,22.397316932151,0.41441938
-158.88527245945,20.2479115413397,0.42503557
-159.380764749868,20.4246739241178,0.11708426
-158.809219625985,23.2721492985064,0.7643884
-159.973214846465,23.9701997285503,0.6906746
-161.556035504974,21.4004129468129,0.12154734
-157.284029063543,23.1573275466934,0.47450852
-158.945951031084,22.8907462633904,0.38610524
-159.121746875981,23.2661697305272,0.7619005
-160.407083386945,22.8535418150894,0.48333448
-159.221366810523,22.0091512014957,0.5981102
-161.16802546867,22.0874454496304,0.27308038
-160.872485638715,21.3609713572966,0.27704293
-159.241254299455,20.3980399616363,0.2651853
-160.327546144763,20.9824376606931,0.2336616
-158.391324734727,24.17389461791,0.41579175
-159.25642994685,22.7105336910076,0.53143513
-161.091141631627,20.8273666243533,0.3575738
-161.052533246555,23.6183284547506,0.36015248
-160.663120782811,24.0868354280819,0.8085016
-158.518987422712,23.9331614359193,0.6101806
-158.939825812224,24.4015978853169,0.38908875
-158.700252562508,23.9125953162944,0.45265692
-160.108031301051,23.867600077412,0.687039
-157.274289257475,21.6481962864442,0.90145713
-158.227578574808,21.8940445056867,0.6209488
-157.466166593033,21.9058769518615,0.7048494
-157.320120812476,21.5629704439367,0.8538719
-157.815292365534,21.6113845542855,0.57964694
-159.918268501179,23.015582081497,0.8233871
-161.552640160393,22.6634274200008,0.29396057
-160.963475910643,20.7523014194897,0.2640719
-161.14285442245,21.3322610301638,0.19436038
-157.508650229842,21.6288854900775,0.47448176
-159.740548629141,22.302099958066,0.6319443
-161.36416802107,23.0964301979603,0.45083892
-159.996209388544,20.088619725282,0.24746725
-158.940370093432,22.7104719156852,0.34556302
-161.734939247382,22.58058479854,0.3487997
-160.608508308933,23.2950358914338,0.8043828
-160.75431385744,20.394833278758,0.24384512
-160.489836945154,20.6138974449786,0.18552555
-160.379328153265,21.4291562906374,0.32594946
-157.867036111508,21.6625444249003,0.6662612
-159.771376892032,21.2554781197356,0.28532913
-157.806990906467,21.6386717888644,0.18657297
-159.805460849605,24.4512297278158,0.52550966
-157.851390842534,21.2005488259751,0.50387317
-159.861402746469,22.4076910726386,0.5919331
-160.268635441106,21.7138418050835,0.40066996
-158.498312291345,22.2710584939007,0.74340826
-158.631157356145,22.9497499969465,0.52172834
-158.316394678854,22.022304145481,0.7548966
-158.163769211668,23.5619004806906,0.57022107
-160.540576416322,23.2594632178236,0.5479852
-159.060669005389,22.9056191019508,0.22312845
-157.84144943265,23.6927766686155,0.45403615
-159.531880770172,20.2144006460543,0.12700427
-160.217368819803,21.5137657164695,0.6159318
-161.036833470839,21.6778015664561,0.2699386
-160.655208924262,22.1651173499539,0.42015108
-157.975681048619,23.4853154103213,0.43712926
-161.604604019079,21.7646547015968,0.13698901
-158.649896555404,21.0537593485338,0.38304937
-157.772169239098,22.708208590209,0.82522905
-160.160490834683,22.674738221344,0.5907553
-159.448768628105,23.7485581446211,0.6850016
-159.240709706223,23.2162108676819,0.8407014
-158.829171197076,23.0682047738277,0.7131522
-158.104859568218,23.5861593178551,0.5514599
-161.681947943661,22.0138070444133,0.18605071
-160.777009086626,21.4684809867762,0.64809996
-159.15213911849,23.2744757793797,0.52297646
-158.845534774496,23.417801375815,0.72065365
-157.848721232326,21.7373374249177,0.44634047
-158.360198726886,21.9202450175327,0.85003877
-161.297785654092,21.8645382481483,0.20140672
-158.095368450137,23.2782648930047,0.4241974
-157.947715033842,23.226159668126,0.42860982
-159.059230818315,20.0703883807785,0.21799137
-161.027891477594,21.66414762037,0.27278894
-158.436166230425,20.4734013251942,0.26555753
-161.369454603529,23.2093898130356,0.54056776
-157.502453518554,22.1927795136371,0.9028397
-160.210373779008,21.1117189431501,0.26128802
-159.48727507669,22.836954064023,0.41185632
-157.347919903851,22.8635456040738,0.43007135
-158.301370510276,24.1733162095499,0.42615724
-158.466683493537,20.4131318785416,0.104264975
-158.619683934182,23.6608080109061,0.5958925
-159.416880114139,21.9728910532939,0.47912157
-159.531593035683,20.986287618621,0.31710246
-161.341001414478,21.9576316367383,0.23602565
-159.09147910384,20.1688068847557,0.30204874
-159.434463976924,20.4714198778253,0.15032628
-160.745057415386,22.4756368517959,0.27098784
-158.123271790773,20.7147431742108,0.38562965
-160.073866340497,20.1835227472651,0.1387669
-158.643267197832,23.3306282597697,0.69709194
-160.523186749322,22.9152282851525,0.33349776
-159.866745083762,23.6195408651209,0.585933
-161.066038547165,23.2323927579266,0.34203953
-160.047721205189,22.6308538883474,0.6906244
-158.211864574643,22.383262174193,0.5412179
-161.456293260739,22.3698761717075,0.18249999
-157.883458163619,23.4297005379792,0.42384276
-158.243423640325,21.533113779096,0.50334895
-157.415043067305,21.4961759399696,0.35667643
-160.417063790768,22.5988089847029,0.3031975
-158.202534510799,23.8349108456148,0.43560833
-159.785228984489,24.2673634356159,0.7609904
