variable,x,y
D2C,-22319.179266368712,0.0010787626961246133
D2C,-21721.64922569461,0.0010787626961246133
D2C,-21124.119185020514,0.0010787626961246133
D2C,-20526.589144346413,0.0010787626961246133
D2C,-19929.059103672316,0.0010787626961246133
D2C,-19331.529062998216,0.0010787626961246133
D2C,-18733.99902232412,0.0010787626961246133
D2C,-18136.468981650018,0.0010787626961246133
D2C,-17538.938940975917,0.0010787626961246133
D2C,-16941.40890030182,0.0010787626961246133
D2C,-16343.87885962772,0.0010787626961246133
D2C,-15746.348818953622,0.0010787626961246133
D2C,-15148.818778279523,0.0010787626961246133
D2C,-14551.288737605424,0.0010787626961246133
D2C,-13953.758696931325,0.0010787626961246133
D2C,-13356.228656257226,0.0010787626961246133
D2C,-12758.698615583126,0.0010787626961246133
D2C,-12161.168574909027,0.0010787626961246133
D2C,-11563.63853423493,0.0010787626961246133
D2C,-10966.108493560829,0.0010787626961246133
D2C,-10368.57845288673,0.0010787626961246133
D2C,-9771.04841221263,0.0010787626961246133
D2C,-9173.518371538532,0.0010787626961246133
D2C,-8575.988330864431,0.0010787626961246133
D2C,-7978.458290190334,0.0010787626961246133
D2C,-7380.928249516235,0.0010787626961246133
D2C,-6783.398208842134,0.0010787626961246133
D2C,-6185.8681681680355,0.0010787626961246133
D2C,-5588.338127493938,0.0010787626961246133
D2C,-4990.808086819838,0.0010787626961246133
D2C,-4393.2780461457405,0.0010787626961246133
D2C,-3795.7480054716398,0.0010787626961246133
D2C,-3198.217964797539,0.0010787626961246133
D2C,-2600.687924123442,0.0010787626961246133
D2C,-2003.1578834493412,0.0010787626961246133
D2C,-1405.627842775244,0.0010787626961246133
D2C,-808.097802101147,0.0010787626961246133
D2C,-210.56776142704257,0.0010787626961246133
D2C,386.96227924705454,0.0010787626961246133
D2C,984.4923199211516,0.0010787626961246133
D2C,1582.0223605952524,0.0010787626961246133
D2C,2179.552401269353,0.0010787626961246133
D2C,2777.0824419434502,0.00107289245352149
D2C,3374.612482617551,0.0010554678738117218
D2C,3972.142523291648,0.001038319431245327
D2C,4569.672563965745,0.001021442818455398
D2C,5167.20260463985,0.0010048338444903493
D2C,5764.732645313947,9.884884348139167E-4
D2C,6362.262685988044,9.724023984745145E-4
D2C,6959.792726662145,9.565718355588615E-4
D2C,7557.322767336242,9.409927879460156E-4
D2C,8154.852808010346,9.256612975150347E-4
D2C,8752.382848684443,9.105736389756203E-4
D2C,9349.91288935854,8.957259124144912E-4
D2C,9947.442930032641,8.811144507490098E-4
D2C,10544.972970706742,8.667356451041996E-4
D2C,11142.503011380835,8.52585828397423E-4
D2C,11740.033052054936,8.386614499613643E-4
D2C,12337.563092729037,8.249590173363686E-4
D2C,12935.093133403137,8.11475096270442E-4
D2C,13532.623174077231,7.982062525115907E-4
D2C,14130.153214751332,7.851492264308035E-4
D2C,14727.683255425432,7.723006419837475E-4
D2C,15325.213296099533,7.596572977490723E-4
D2C,15922.743336773634,7.472159923054278E-4
D2C,16520.273377447727,7.349735824391246E-4
D2C,17117.803418121828,7.229269831441343E-4
D2C,17715.33345879593,7.110730512067676E-4
D2C,18312.86349947003,6.994089344516397E-4
D2C,18910.39354014413,6.879316060803831E-4
D2C,19507.923580818224,6.766380392946303E-4
D2C,20105.453621492325,6.655255565419793E-4
D2C,20702.983662166418,6.545911892317235E-4
D2C,21300.513702840526,6.43832259811461E-4
D2C,21898.043743514627,6.332459743134677E-4
D2C,22495.57378418872,6.228295969776809E-4
D2C,23093.10382486282,6.125805084593594E-4
D2C,23690.63386553692,6.024960894137621E-4
D2C,24288.163906211015,5.925737787038088E-4
D2C,24885.693946885123,5.828109569847584E-4
D2C,25483.223987559217,5.732052377425134E-4
D2C,26080.754028233318,5.637541180476546E-4
D2C,26678.28406890742,5.544551531784236E-4
D2C,27275.81410958151,5.453058984130621E-4
D2C,27873.344150255612,5.363041418604553E-4
D2C,28470.874190929713,5.274474387988448E-4
D2C,29068.404231603814,5.18733577337116E-4
D2C,29665.934272277915,5.101603455841541E-4
D2C,30263.46431295201,5.017254152335227E-4
D2C,30860.99435362611,4.934266908094287E-4
D2C,31458.524394300202,4.8526207683607936E-4
D2C,32056.05443497431,4.772293323185295E-4
D2C,32653.58447564841,4.69326478196308E-4
D2C,33251.1145163225,4.615514480974525E-4
D2C,33848.6445569966,4.5390220475383103E-4
D2C,34446.1745976707,4.463767691049725E-4
D2C,35043.7046383448,4.3897322029806674E-4
D2C,35641.234679018904,4.3168957927264273E-4
D2C,36238.764719693005,4.2452398338355124E-4
D2C,36836.294760367105,4.174745990894735E-4
D2C,37433.82480104119,4.105395055375993E-4
D2C,38031.35484171529,4.0371695649810135E-4
D2C,38628.88488238941,3.9700514753349125E-4
D2C,39226.414923063494,3.9040239062160254E-4
D2C,39823.944963737595,3.839068813249469E-4
D2C,40421.475004411695,3.7751690251752734E-4
D2C,41019.005045085796,3.712309116963297E-4
D2C,41616.5350857599,3.650471044238657E-4
D2C,42214.065126434,3.5896390909329057E-4
D2C,42811.5951671081,3.5297981230542064E-4
D2C,43409.1252077822,3.470931260380894E-4
D2C,44006.6552484563,3.4130236599594355E-4
D2C,44604.185289130386,3.3560601877979934E-4
D2C,45201.71532980449,3.300025418866426E-4
D2C,45799.24537047859,3.2449045102111995E-4
D2C,46396.77541115269,3.190683200955391E-4
D2C,46994.30545182679,3.137347521260381E-4
D2C,47591.83549250089,3.0848829192109406E-4
D2C,48189.36553317499,3.0332751339301467E-4
D2C,48786.89557384909,2.9825116507709026E-4
D2C,49384.42561452318,2.9325776267796755E-4
D2C,49981.95565519729,2.8834608383476734E-4
D2C,50579.48569587138,2.835148188751191E-4
D2C,51177.01573654548,2.7876259991899133E-4
D2C,51774.54577721958,2.7408823370933533E-4
D2C,52372.07581789368,2.6949052698910236E-4
D2C,52969.60585856778,2.6496811187826097E-4
D2C,53567.13589924187,2.605198824312538E-4
D2C,54164.66593991598,2.5614467449486256E-4
D2C,54762.195980590084,2.5184123660437763E-4
D2C,55359.72602126417,2.4760846281424165E-4
D2C,55957.256061938286,2.434452180750668E-4
D2C,56554.78610261237,2.393504255451262E-4
D2C,57152.31614328647,2.3532290651928633E-4
D2C,57749.84618396057,2.3136164236348122E-4
D2C,58347.376224634674,2.274655707878992E-4
D2C,58944.906265308775,2.2363360039889812E-4
D2C,59542.43630598286,2.1986472711432725E-4
D2C,60139.96634665698,2.1615796140395105E-4
D2C,60737.49638733106,2.125122700817883E-4
D2C,61335.02642800516,2.089266781695187E-4
D2C,61932.55646867928,2.0540023979265243E-4
D2C,62530.086509353365,2.0193196542095393E-4
D2C,63127.616550027466,1.9852095283567905E-4
D2C,63725.14659070155,1.9516625616233796E-4
D2C,64322.67663137567,1.9186700228601694E-4
D2C,64920.20667204977,1.8862224533222616E-4
D2C,65517.736712723854,1.8543114128988236E-4
D2C,66115.26675339797,1.8229283159598708E-4
D2C,66712.79679407206,1.7920644313562661E-4
D2C,67310.32683474616,1.7617113189771771E-4
D2C,67907.85687542026,1.731860829750076E-4
D2C,68505.38691609436,1.702504960121587E-4
D2C,69102.91695676846,1.6736358520574868E-4
D2C,69700.44699744256,1.645245065446943E-4
D2C,70297.97703811666,1.6173251788131893E-4
D2C,70895.50707879075,1.5898686251603067E-4
D2C,71493.03711946485,1.5628676919732243E-4
D2C,72090.56716013896,1.5363152488134801E-4
D2C,72688.09720081305,1.5102043107617646E-4
D2C,73285.62724148715,1.4845268742647022E-4
D2C,73883.15728216125,1.45927639096044E-4
D2C,74480.68732283535,1.4344460214488208E-4
D2C,75078.21736350945,1.4100286352913827E-4
D2C,75675.74740418355,1.386017829645425E-4
D2C,76273.27744485765,1.362406910629943E-4
D2C,76870.80748553174,1.339189475402236E-4
D2C,77468.33752620584,1.316358830081299E-4
D2C,78065.86756687994,1.2939087173435837E-4
D2C,78663.39760755404,1.2718331709038466E-4
D2C,79260.92764822814,1.2501259334385395E-4
D2C,79858.45768890224,1.2287810386624187E-4
D2C,80455.98772957634,1.2077928840881214E-4
D2C,81053.51777025043,1.187155139632523E-4
D2C,81651.04781092455,1.1668622028082609E-4
D2C,82248.57785159865,1.1469086166471243E-4
D2C,82846.10789227273,1.1272887786617503E-4
D2C,83443.63793294683,1.1079972318839282E-4
D2C,84041.16797362093,1.0890286648645997E-4
D2C,84638.69801429503,1.0703779116738588E-4
D2C,85236.22805496912,1.0520393698243424E-4
D2C,85833.75809564324,1.0340082371840253E-4
D2C,86431.28813631734,1.0162793478230014E-4
D2C,87028.81817699142,9.988478268496692E-5
D2C,87626.34821766554,9.817087993724272E-5
D2C,88223.87825833962,9.648577542975545E-5
D2C,88821.40829901372,9.482893801759928E-5
D2C,89418.93833968783,9.319993841927499E-5
D2C,90016.46838036193,9.159831824945286E-5
D2C,90613.99842103603,9.002361912280321E-5
D2C,91211.52846171011,8.84754117578268E-5
D2C,91809.05850238423,8.69532668730244E-5
D2C,92406.58854305831,8.545672608306631E-5
D2C,93004.11858373242,8.39898202684708E-5
D2C,93601.64862440653,8.258816524175927E-5
D2C,94199.17866508062,8.122608414851129E-5
D2C,94796.70870575472,8.002755203051493E-5
D2C,95394.2387464288,7.88461766205728E-5
D2C,95991.76878710292,7.785032357787713E-5
D2C,96589.29882777702,7.703966548433527E-5
D2C,97186.8288684511,7.625036232639104E-5
D2C,97784.35890912522,7.55180444684811E-5
D2C,98381.88894979931,7.479226042050868E-5
D2C,98979.41899047341,7.407295925077051E-5
D2C,99576.94903114752,7.336009730352089E-5
D2C,100174.47907182161,7.265360909514129E-5
D2C,100772.00911249571,7.195345096988603E-5
D2C,101369.53915316981,7.12595647200942E-5
D2C,101967.06919384391,7.05718994140625E-5
D2C,102564.599234518,6.989041139604524E-5
D2C,103162.1292751921,6.921504973433912E-5
D2C,103759.65931586621,6.854576349724084E-5
D2C,104357.1893565403,6.78824944770895E-5
D2C,104954.7193972144,6.722519901813939E-5
D2C,105552.2494378885,6.657381891272962E-5
D2C,106149.7794785626,6.592832505702972E-5
D2C,106747.3095192367,6.528865196742117E-5
D2C,107344.8395599108,6.46547632641159E-5
D2C,107942.3696005849,6.402660073945299E-5
D2C,108539.89964125899,6.340412073768675E-5
D2C,109137.4296819331,6.279020453803241E-5
D2C,109734.9597226072,6.226001278264448E-5
D2C,110332.48976328131,6.175973976496607E-5
D2C,110930.0198039554,6.130836118245497E-5
D2C,111527.54984462948,6.094928539823741E-5
