X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-158.649585426676,22.4661060583403,train,3.0695186582036454E-4,92.68123974390264,0.919176195563322
-158.696408213333,22.5197762999999,train,1.8633829624328118E-4,64.17336648505473,0.7828246864799496
-158.850944361572,22.4002796318888,train,2.760813580721769E-4,89.03001949937813,0.8959099207641986
-158.7243068,22.4908662,train,3.0197084724090215E-4,92.01228795922708,0.915808733458992
-158.724677563921,22.4911872360775,train,3.0217582608065295E-4,92.02714010753832,0.9159500401076498
-159.4064387,22.2479381,train,3.496321181839274E-4,95.7503609091445,0.9430311272253457
-159.07292792312,22.1798372851436,train,2.6576461954160886E-4,87.73795437588517,0.8867267788170369
-158.976227746816,22.2062485686623,train,2.5793733829143633E-4,86.34310471549425,0.8792227797620916
-159.127599450225,22.2226338964456,train,3.459842674450733E-4,95.60542942112555,0.9413023717886988
-159.22947429356,22.2367705854209,train,3.1580391437942106E-4,93.53020113505242,0.9248317741790578
-159.215221448271,22.5139898862906,train,3.457676007891135E-4,95.5968213481108,0.9411980561326417
-159.400950763424,22.3260731579087,train,4.6111257357830807E-4,99.8264066892063,0.9771507590396599
-159.135560751668,22.6904192783355,train,2.2318865174856753E-4,77.79847608236058,0.8394324582593358
-159.417291933798,22.3004237064717,train,4.541973806808123E-4,99.79983755837254,0.9758184921711779
-159.155743855734,22.7063006049211,train,2.3217070616441486E-4,80.50806825065169,0.8508270527754334
-159.619611,22.5843759,train,3.0515190521647554E-4,92.5107287542455,0.9179751470501158
-159.630767268677,22.5859138338469,train,3.0224740573204405E-4,92.04511892153889,0.9159993292153016
-159.163811704516,22.6769737503426,train,2.493761813865445E-4,84.78014425333483,0.8704448391805346
-159.649945469871,22.5682461357138,train,2.893970747892195E-4,90.63559736914009,0.9066707279946976
-159.556666,22.3417613,train,1.907259743247912E-4,65.8742207580502,0.7904949774398519
-159.619424973406,22.7075053977874,train,2.5183799159732317E-4,85.1649201424956,0.8730323788826451
-159.298309990104,22.3325386297902,train,3.5409440404734723E-4,96.0640639314418,0.9450767694308342
-159.290131850548,22.3521597464929,train,3.674136803569999E-4,96.88632945240393,0.9507561562447395
-159.8507732,22.6339461,train,2.591478895322721E-4,86.51876903291604,0.8804150288877216
-159.2936171,22.3417267,train,3.8533786051580713E-4,97.87017562621833,0.9574833853577611
-158.9725484,22.3855299,train,2.9645520491659454E-4,91.51677048145712,0.9119158930130504
-158.926214607597,22.4609470453672,train,2.4345271139507532E-4,83.41202895096738,0.8640006870115016
-158.987102824186,22.3587904967336,train,2.9599188624038317E-4,91.43977448869931,0.9115808092751067
-158.791887381933,22.5086412135669,train,1.8490319541119096E-4,63.516317977925034,0.7802554716465083
-158.470975566938,22.6291522892542,train,1.6429134216879417E-4,55.65873004146397,0.739818188660846
-159.369150406322,22.237053037369,train,2.828324241220246E-4,89.9351374505632,0.9015123269153921
-158.412330134747,22.5860000127104,train,1.4848129143291857E-4,49.604287873584006,0.703826714489867
-158.423221994104,22.5742804810973,train,1.5202392181645668E-4,50.70695137636647,0.7123016030388711
-158.412158955834,22.5893760224988,train,1.4822200347406386E-4,49.50459014779773,0.7031967138903132
-158.427816545836,22.5668302274985,train,1.5485086853884566E-4,51.75962641128271,0.7188900852329345
-159.271832495532,22.7781889063902,train,1.9449534690513595E-4,67.21697342122168,0.7968676894919393
-159.290466124192,22.7283081772658,train,2.0538811504915673E-4,71.89657609141234,0.814214861058687
-159.210842286689,22.8309240584181,train,1.7995760814180602E-4,61.409848614670835,0.7711664376583256
-159.461544514425,22.2639097655084,train,2.8373332750483986E-4,90.04361548262587,0.9022367781107485
-159.4898346,22.3703399,train,2.888814607654769E-4,90.55541638762992,0.9062755327488978
-159.006544274505,23.0122567974662,train,2.3622721070382362E-4,81.49141905255702,0.855704522660313
-158.997551676954,22.9950889218755,train,2.46451851872312E-4,84.1072497625312,0.8673025468101804
-158.985802648447,22.9967366987464,train,2.4152062137291266E-4,82.91865601661074,0.8618301956537828
-159.064934208202,22.8817348314626,train,1.707132384422883E-4,58.14434347585931,0.7531568919458522
-159.013659424663,22.955567741269,train,2.963569456086949E-4,91.50044286607498,0.9118449356672891
-159.285580979803,22.3285295435082,train,3.562357403709E-4,96.17633379580616,0.9460321737374559
-158.977983479669,22.9848744926658,train,2.4904567406672186E-4,84.70727973854883,0.8700934605717786
-159.054844607611,22.7667774956771,train,1.6881464257897103E-4,57.504898830111884,0.7492862075178519
-158.977990950847,22.985162836415,train,2.4882507356142105E-4,84.64739755408658,0.8698583991388131
-159.019024151262,22.7487814241023,train,1.595688000912396E-4,53.762487492653655,0.7295513905904703
-159.684796515057,22.4708707842734,train,3.035133712304024E-4,92.31315852510016,0.9168663010424244
-159.699380640456,22.5004625288231,train,3.310286939039504E-4,94.76308832218407,0.9336488635052084
-159.615855018917,22.4226693261719,train,2.6298890320448903E-4,87.28249402750433,0.884120610823445
-159.527834397637,22.280943793582,train,1.908854284261213E-4,65.9332212606464,0.7907685658203879
-159.636429062341,22.4827325755705,train,3.006661014890414E-4,91.9282420778571,0.9149036928281021
-159.4161034,22.2883101,train,3.778904515324694E-4,97.6031236374741,0.9548076976949469
-159.042733919135,22.6649704523178,train,1.6481437578937902E-4,55.85151709771758,0.7409310148943556
-159.046697226867,22.6109808295155,train,1.7964063010698821E-4,61.30094138709113,0.7705712357397055
-159.438493808315,22.3593231336629,train,3.5083539646077764E-4,95.83836025280547,0.9435901318866591
-159.041753673999,22.6691112866069,train,1.6262872041022472E-4,54.988979030250036,0.7362488835236933
-159.072412709231,22.5961555871791,train,1.862298852117375E-4,64.12410931128916,0.7826316550147819
-159.17400436735,22.6035775899462,train,1.996566494746818E-4,69.39371751396767,0.8052804251199921
-159.307742622675,22.3360192115182,train,3.143258484017674E-4,93.40547778417373,0.9239157387361643
-159.28006156889,22.5956648196059,train,2.197317933186099E-4,76.8425995550995,0.8348186801980086
-158.932213117971,22.6210491127566,train,1.5288389986843777E-4,50.97343747136125,0.7143220459737998
-159.134856755772,22.3001725818773,train,2.9368112373495854E-4,91.12857321042314,0.909890478695459
-158.897665086483,22.6983698184769,train,1.323216918423021E-4,43.2976110281782,0.6618893120592837
-158.848213690025,23.0552654600023,train,1.3801976814665928E-4,45.45995603256535,0.6773147659471297
-158.967937185307,22.4368865445442,train,2.214488879577338E-4,77.37991054050227,0.8371267788229457
-158.937234466101,22.7299463593274,train,1.249044491719798E-4,40.697331285016915,0.6406999102863011
-159.090964824448,23.1348372635814,train,1.596893957753213E-4,53.819158164510625,0.7298185393550555
-159.50610820397,22.535982916912,train,2.213689330853256E-4,77.35296122336457,0.8370200238417964
-159.074202382235,23.1183154062195,train,1.9232174009272941E-4,66.45568065273903,0.7932169152697921
-159.051468459033,23.0828860223423,train,1.5888850580368408E-4,53.48315663449817,0.7280394177771481
-159.22054201041,22.6378674131217,train,1.9029492435573709E-4,65.72446972734492,0.7897535979146263
-159.302012202519,22.8554344907583,train,1.7947080820951105E-4,61.24143709198267,0.7702517179586487
